celebrity_name,season,week,average_score
Shawn Johnson,8,4,8.333333333333334
Ty Murray,8,4,8.333333333333334
Chuck Wicks,8,4,7.333333333333333
David Alan Grier,8,4,7.333333333333333
Lawrence Taylor,8,4,6.333333333333333
Holly Madison,8,4,5.333333333333333
Steve-O,8,4,5.0
Steve Wozniak,8,4,4.0
Belinda Carlisle,8,4,0.0
Denise Richards,8,4,0.0
Gilles Marini,8,5,9.666666666666666
Lil' Kim,8,5,8.666666666666666
Shawn Johnson,8,5,8.666666666666666
Melissa Rycroft,8,5,8.333333333333334
Chuck Wicks,8,5,7.666666666666667
David Alan Grier,8,5,7.333333333333333
Ty Murray,8,5,7.0
Lawrence Taylor,8,5,6.666666666666667
Steve-O,8,5,6.0
Belinda Carlisle,8,5,0.0
Denise Richards,8,5,0.0
Holly Madison,8,5,0.0
Steve Wozniak,8,5,0.0
Lil' Kim,8,6,9.333333333333334
Melissa Rycroft,8,6,9.0
Gilles Marini,8,6,8.666666666666666
Shawn Johnson,8,6,8.666666666666666
Chuck Wicks,8,6,7.666666666666667
Lawrence Taylor,8,6,7.333333333333333
Ty Murray,8,6,6.0
Steve-O,8,6,5.333333333333333
Belinda Carlisle,8,6,0.0
David Alan Grier,8,6,0.0
Denise Richards,8,6,0.0
Holly Madison,8,6,0.0
Steve Wozniak,8,6,0.0
Melissa Rycroft,8,7,9.666666666666666
Shawn Johnson,8,7,9.333333333333334
Chuck Wicks,8,7,9.0
Gilles Marini,8,7,9.0
Lil' Kim,8,7,8.666666666666666
Ty Murray,8,7,8.0
Lawrence Taylor,8,7,7.0
Belinda Carlisle,8,7,0.0
David Alan Grier,8,7,0.0
Denise Richards,8,7,0.0
Holly Madison,8,7,0.0
Steve Wozniak,8,7,0.0
Steve-O,8,7,0.0
Lil' Kim,8,8,9.333333333333334
Gilles Marini,8,8,9.166666666666666
Shawn Johnson,8,8,8.666666666666666
Ty Murray,8,8,8.666666666666666
Chuck Wicks,8,8,8.5
Melissa Rycroft,8,8,7.666666666666667
Belinda Carlisle,8,8,0.0
David Alan Grier,8,8,0.0
Denise Richards,8,8,0.0
Holly Madison,8,8,0.0
Lawrence Taylor,8,8,0.0
Steve Wozniak,8,8,0.0
Steve-O,8,8,0.0
Melissa Rycroft,8,9,9.5
Gilles Marini,8,9,9.333333333333334
Shawn Johnson,8,9,9.333333333333334
Lil' Kim,8,9,8.666666666666666
Ty Murray,8,9,7.666666666666667
Belinda Carlisle,8,9,0.0
Chuck Wicks,8,9,0.0
David Alan Grier,8,9,0.0
Denise Richards,8,9,0.0
Holly Madison,8,9,0.0
Lawrence Taylor,8,9,0.0
Steve Wozniak,8,9,0.0
Steve-O,8,9,0.0
Joanna Krupa,9,1,11.3333
Aaron Carter,9,1,10.666633333333332
Mya,9,1,10.3333
Kelly Osbourne,9,1,10.333266666666667
Donny Osmond,9,1,9.999966666666666
Mark Dacascos,9,1,9.6666
Louie Vito,9,1,8.999933333333333
Natalie Coughlin,9,1,8.999933333333333
Melissa Joan Hart,9,1,8.0
Chuck Liddell,9,1,7.333333333333333
Debi Mazar,9,1,7.333333333333333
Kathy Ireland,9,1,6.666633333333333
Tom DeLay,9,1,6.666633333333333
Michael Irvin,9,1,6.333333333333333
Ashley Hamiliton,9,1,6.3333
Macy Gray,9,1,6.3333
Donny Osmond,9,10,9.6666
Mya,9,10,9.4444
Kelly Osbourne,9,10,8.4074
Aaron Carter,9,10,0.0
Ashley Hamiliton,9,10,0.0
Chuck Liddell,9,10,0.0
Debi Mazar,9,10,0.0
Joanna Krupa,9,10,0.0
Kathy Ireland,9,10,0.0
Louie Vito,9,10,0.0
Macy Gray,9,10,0.0
Mark Dacascos,9,10,0.0
Melissa Joan Hart,9,10,0.0
Michael Irvin,9,10,0.0
Natalie Coughlin,9,10,0.0
Tom DeLay,9,10,0.0
Aaron Carter,9,2,9.0
Mya,9,2,9.0
Donny Osmond,9,2,8.333333333333334
Debi Mazar,9,2,7.0
Mark Dacascos,9,2,7.0
Natalie Coughlin,9,2,7.0
Joanna Krupa,9,2,6.666666666666667
Michael Irvin,9,2,6.666666666666667
Chuck Liddell,9,2,6.333333333333333
Kelly Osbourne,9,2,6.333333333333333
Louie Vito,9,2,6.333333333333333
Melissa Joan Hart,9,2,6.333333333333333
Kathy Ireland,9,2,6.0
Tom DeLay,9,2,6.0
Ashley Hamiliton,9,2,0.0
Macy Gray,9,2,0.0
Mya,9,3,9.0
Natalie Coughlin,9,3,8.666666666666666
Joanna Krupa,9,3,7.666666666666667
Aaron Carter,9,3,7.0
Donny Osmond,9,3,7.0
Kelly Osbourne,9,3,6.666666666666667
Louie Vito,9,3,6.666666666666667
Melissa Joan Hart,9,3,6.333333333333333
Mark Dacascos,9,3,6.0
Chuck Liddell,9,3,5.666666666666667
Debi Mazar,9,3,5.666666666666667
Tom DeLay,9,3,5.0
Michael Irvin,9,3,4.666666666666667
Ashley Hamiliton,9,3,0.0
Kathy Ireland,9,3,0.0
Macy Gray,9,3,0.0
Melissa Joan Hart,9,4,9.333333333333334
Mya,9,4,9.333333333333334
Joanna Krupa,9,4,8.666666666666666
Donny Osmond,9,4,8.0
Natalie Coughlin,9,4,8.0
Kelly Osbourne,9,4,7.666666666666667
Mark Dacascos,9,4,7.333333333333333
Aaron Carter,9,4,6.0
Chuck Liddell,9,4,5.666666666666667
Louie Vito,9,4,5.333333333333333
Michael Irvin,9,4,5.333333333333333
Ashley Hamiliton,9,4,0.0
Debi Mazar,9,4,0.0
Kathy Ireland,9,4,0.0
Macy Gray,9,4,0.0
Tom DeLay,9,4,0.0
Donny Osmond,9,5,9.666666666666666
Mya,9,5,9.0
Mark Dacascos,9,5,8.666666666666666
Aaron Carter,9,5,8.0
Joanna Krupa,9,5,8.0
Kelly Osbourne,9,5,8.0
Melissa Joan Hart,9,5,7.666666666666667
Louie Vito,9,5,7.333333333333333
Natalie Coughlin,9,5,7.333333333333333
Michael Irvin,9,5,7.0
Ashley Hamiliton,9,5,0.0
Chuck Liddell,9,5,0.0
Debi Mazar,9,5,0.0
Kathy Ireland,9,5,0.0
Macy Gray,9,5,0.0
Tom DeLay,9,5,0.0
Joanna Krupa,9,6,11.999966666666666
Mya,9,6,11.0
Aaron Carter,9,6,10.999933333333333
Mark Dacascos,9,6,10.666666666666666
Donny Osmond,9,6,10.3333
Kelly Osbourne,9,6,8.333266666666667
Louie Vito,9,6,8.0
Melissa Joan Hart,9,6,7.9999666666666664
Michael Irvin,9,6,7.333266666666667
Ashley Hamiliton,9,6,0.0
Chuck Liddell,9,6,0.0
Debi Mazar,9,6,0.0
Kathy Ireland,9,6,0.0
Macy Gray,9,6,0.0
Natalie Coughlin,9,6,0.0
Tom DeLay,9,6,0.0
Joanna Krupa,9,7,9.166666666666666
Aaron Carter,9,7,8.833333333333334
Donny Osmond,9,7,8.666666666666666
Kelly Osbourne,9,7,8.666666666666666
Mya,9,7,8.166666666666666
Michael Irvin,9,7,7.833333333333333
Mark Dacascos,9,7,7.166666666666667
Ashley Hamiliton,9,7,0.0
Chuck Liddell,9,7,0.0
Debi Mazar,9,7,0.0
Kathy Ireland,9,7,0.0
Louie Vito,9,7,0.0
Macy Gray,9,7,0.0
Melissa Joan Hart,9,7,0.0
Natalie Coughlin,9,7,0.0
Tom DeLay,9,7,0.0
Mya,9,8,9.833333333333334
Joanna Krupa,9,8,8.666666666666666
Kelly Osbourne,9,8,8.5
Aaron Carter,9,8,8.333333333333334
Donny Osmond,9,8,8.333333333333334
Ashley Hamiliton,9,8,0.0
Chuck Liddell,9,8,0.0
Debi Mazar,9,8,0.0
Kathy Ireland,9,8,0.0
Louie Vito,9,8,0.0
Macy Gray,9,8,0.0
Mark Dacascos,9,8,0.0
Melissa Joan Hart,9,8,0.0
Michael Irvin,9,8,0.0
Natalie Coughlin,9,8,0.0
Tom DeLay,9,8,0.0
Mya,9,9,9.666633333333333
Joanna Krupa,9,9,9.0
Kelly Osbourne,9,9,8.6666
Donny Osmond,9,9,8.222199999999999
Aaron Carter,9,9,0.0
Ashley Hamiliton,9,9,0.0
Chuck Liddell,9,9,0.0
Debi Mazar,9,9,0.0
Kathy Ireland,9,9,0.0
Louie Vito,9,9,0.0
Macy Gray,9,9,0.0
Mark Dacascos,9,9,0.0
Melissa Joan Hart,9,9,0.0
Michael Irvin,9,9,0.0
Natalie Coughlin,9,9,0.0
Tom DeLay,9,9,0.0
Nicole Scherzinger,10,1,8.333333333333334
Evan Lysacek,10,1,7.666666666666667
Erin Andrews,10,1,7.0
Pamela Anderson,10,1,7.0
Jake Pavelka,10,1,6.666666666666667
Chad Ochocinco,10,1,6.0
Niecy Nash,10,1,6.0
Shannen Doherty,10,1,6.0
Kate Gosselin,10,1,5.333333333333333
Aiden Turner,10,1,5.0
Buzz Aldrin,10,1,4.666666666666667
Nicole Scherzinger,10,10,9.592566666666666
Erin Andrews,10,10,8.999933333333333
Evan Lysacek,10,10,8.9629
Aiden Turner,10,10,0.0
Buzz Aldrin,10,10,0.0
Chad Ochocinco,10,10,0.0
Jake Pavelka,10,10,0.0
Kate Gosselin,10,10,0.0
Niecy Nash,10,10,0.0
Pamela Anderson,10,10,0.0
Shannen Doherty,10,10,0.0
Nicole Scherzinger,10,2,9.333333333333334
Evan Lysacek,10,2,8.0
Erin Andrews,10,2,7.666666666666667
Pamela Anderson,10,2,7.333333333333333
Niecy Nash,10,2,7.0
Jake Pavelka,10,2,6.666666666666667
Shannen Doherty,10,2,6.666666666666667
Aiden Turner,10,2,6.333333333333333
Chad Ochocinco,10,2,5.333333333333333
Kate Gosselin,10,2,5.0
Buzz Aldrin,10,2,4.0
Evan Lysacek,10,3,8.666666666666666
Erin Andrews,10,3,7.666666666666667
Nicole Scherzinger,10,3,7.666666666666667
Jake Pavelka,10,3,7.0
Niecy Nash,10,3,7.0
Pamela Anderson,10,3,7.0
Aiden Turner,10,3,6.666666666666667
Chad Ochocinco,10,3,6.666666666666667
Kate Gosselin,10,3,5.0
Buzz Aldrin,10,3,4.333333333333333
Shannen Doherty,10,3,0.0
Evan Lysacek,10,4,8.666666666666666
Nicole Scherzinger,10,4,8.333333333333334
Pamela Anderson,10,4,7.833333333333333
Chad Ochocinco,10,4,7.333333333333333
Erin Andrews,10,4,6.5
Jake Pavelka,10,4,6.333333333333333
Niecy Nash,10,4,6.0
Aiden Turner,10,4,5.5
Kate Gosselin,10,4,5.333333333333333
Buzz Aldrin,10,4,0.0
Shannen Doherty,10,4,0.0
Nicole Scherzinger,10,5,9.666666666666666
Evan Lysacek,10,5,9.0
Jake Pavelka,10,5,7.666666666666667
Erin Andrews,10,5,7.333333333333333
Pamela Anderson,10,5,7.0
Chad Ochocinco,10,5,6.0
Niecy Nash,10,5,6.0
Kate Gosselin,10,5,5.0
Aiden Turner,10,5,0.0
Buzz Aldrin,10,5,0.0
Shannen Doherty,10,5,0.0
Nicole Scherzinger,10,6,11.999966666666666
Erin Andrews,10,6,11.333333333333334
Chad Ochocinco,10,6,10.3333
Pamela Anderson,10,6,9.999933333333333
Evan Lysacek,10,6,9.0
Niecy Nash,10,6,8.6666
Jake Pavelka,10,6,8.3333
Aiden Turner,10,6,0.0
Buzz Aldrin,10,6,0.0
Kate Gosselin,10,6,0.0
Shannen Doherty,10,6,0.0
Evan Lysacek,10,7,9.0
Nicole Scherzinger,10,7,9.0
Chad Ochocinco,10,7,8.666666666666666
Erin Andrews,10,7,8.5
Pamela Anderson,10,7,8.5
Niecy Nash,10,7,8.166666666666666
Aiden Turner,10,7,0.0
Buzz Aldrin,10,7,0.0
Jake Pavelka,10,7,0.0
Kate Gosselin,10,7,0.0
Shannen Doherty,10,7,0.0
Nicole Scherzinger,10,8,9.833333333333334
Erin Andrews,10,8,8.833333333333334
Evan Lysacek,10,8,8.833333333333334
Chad Ochocinco,10,8,7.5
Niecy Nash,10,8,7.166666666666667
Aiden Turner,10,8,0.0
Buzz Aldrin,10,8,0.0
Jake Pavelka,10,8,0.0
Kate Gosselin,10,8,0.0
Pamela Anderson,10,8,0.0
Shannen Doherty,10,8,0.0
Evan Lysacek,10,9,9.833333333333334
Nicole Scherzinger,10,9,9.833333333333334
Erin Andrews,10,9,9.333333333333334
Chad Ochocinco,10,9,8.666666666666666
Aiden Turner,10,9,0.0
Buzz Aldrin,10,9,0.0
Jake Pavelka,10,9,0.0
Kate Gosselin,10,9,0.0
Niecy Nash,10,9,0.0
Pamela Anderson,10,9,0.0
Shannen Doherty,10,9,0.0
Jennifer Grey,11,1,8.0
Brandy,11,1,7.666666666666667
Kyle Massey,11,1,7.666666666666667
Rick Fox,11,1,7.333333333333333
Audrina Patridge,11,1,6.333333333333333
Kurt Warner,11,1,6.333333333333333
Bristol Palin,11,1,6.0
Florence Henderson,11,1,6.0
Michael Bolton,11,1,5.333333333333333
David Hasselhoff,11,1,5.0
Margaret Cho,11,1,5.0
The Situation,11,1,5.0
Jennifer Grey,11,10,10.0
Kyle Massey,11,10,9.111066666666666
Bristol Palin,11,10,8.555533333333333
Audrina Patridge,11,10,0.0
Brandy,11,10,0.0
David Hasselhoff,11,10,0.0
Florence Henderson,11,10,0.0
Kurt Warner,11,10,0.0
Margaret Cho,11,10,0.0
Michael Bolton,11,10,0.0
Rick Fox,11,10,0.0
The Situation,11,10,0.0
Jennifer Grey,11,2,8.0
Audrina Patridge,11,2,7.666666666666667
Bristol Palin,11,2,7.333333333333333
Kyle Massey,11,2,7.333333333333333
Brandy,11,2,7.0
Kurt Warner,11,2,7.0
Rick Fox,11,2,7.0
Florence Henderson,11,2,6.333333333333333
Margaret Cho,11,2,6.0
The Situation,11,2,6.0
Michael Bolton,11,2,4.0
David Hasselhoff,11,2,0.0
Audrina Patridge,11,3,8.666666666666666
Brandy,11,3,8.0
Jennifer Grey,11,3,8.0
Rick Fox,11,3,8.0
Kurt Warner,11,3,7.666666666666667
Kyle Massey,11,3,7.666666666666667
Florence Henderson,11,3,6.666666666666667
The Situation,11,3,6.666666666666667
Bristol Palin,11,3,6.333333333333333
Margaret Cho,11,3,6.0
David Hasselhoff,11,3,0.0
Michael Bolton,11,3,0.0
Jennifer Grey,11,4,9.333333333333334
Brandy,11,4,8.0
Audrina Patridge,11,4,7.666666666666667
Kyle Massey,11,4,6.666666666666667
Rick Fox,11,4,6.5
Florence Henderson,11,4,5.833333333333333
Kurt Warner,11,4,5.666666666666667
Bristol Palin,11,4,5.333333333333333
The Situation,11,4,4.666666666666667
David Hasselhoff,11,4,0.0
Margaret Cho,11,4,0.0
Michael Bolton,11,4,0.0
Brandy,11,5,9.0
Jennifer Grey,11,5,8.333333333333334
Kurt Warner,11,5,8.0
Rick Fox,11,5,8.0
Audrina Patridge,11,5,7.666666666666667
Florence Henderson,11,5,7.0
Kyle Massey,11,5,6.666666666666667
Bristol Palin,11,5,6.0
David Hasselhoff,11,5,0.0
Margaret Cho,11,5,0.0
Michael Bolton,11,5,0.0
The Situation,11,5,0.0
Brandy,11,6,11.999966666666666
Audrina Patridge,11,6,10.6666
Rick Fox,11,6,10.0
Kyle Massey,11,6,9.999966666666666
Jennifer Grey,11,6,9.666666666666666
Bristol Palin,11,6,9.333266666666667
Kurt Warner,11,6,7.3333
David Hasselhoff,11,6,0.0
Florence Henderson,11,6,0.0
Margaret Cho,11,6,0.0
Michael Bolton,11,6,0.0
The Situation,11,6,0.0
Brandy,11,7,9.125
Jennifer Grey,11,7,9.125
Kurt Warner,11,7,8.75
Rick Fox,11,7,8.625
Kyle Massey,11,7,8.375
Bristol Palin,11,7,8.125
Audrina Patridge,11,7,0.0
David Hasselhoff,11,7,0.0
Florence Henderson,11,7,0.0
Margaret Cho,11,7,0.0
Michael Bolton,11,7,0.0
The Situation,11,7,0.0
Brandy,11,8,9.5
Jennifer Grey,11,8,9.5
Kyle Massey,11,8,9.333333333333334
Kurt Warner,11,8,8.0
Bristol Palin,11,8,7.833333333333333
Audrina Patridge,11,8,0.0
David Hasselhoff,11,8,0.0
Florence Henderson,11,8,0.0
Margaret Cho,11,8,0.0
Michael Bolton,11,8,0.0
Rick Fox,11,8,0.0
The Situation,11,8,0.0
Jennifer Grey,11,9,10.0
Kyle Massey,11,9,9.666666666666666
Brandy,11,9,9.5
Bristol Palin,11,9,8.833333333333334
Audrina Patridge,11,9,0.0
David Hasselhoff,11,9,0.0
Florence Henderson,11,9,0.0
Kurt Warner,11,9,0.0
Margaret Cho,11,9,0.0
Michael Bolton,11,9,0.0
Rick Fox,11,9,0.0
The Situation,11,9,0.0
Ralph Macchio,12,1,8.0
Kirstie Alley,12,1,7.666666666666667
Chelsea Kane,12,1,7.0
Hines Ward,12,1,7.0
Chris Jericho,12,1,6.333333333333333
Romeo,12,1,6.333333333333333
Kendra Wilkinson,12,1,6.0
Petra Nemcova,12,1,6.0
Sugar Ray Leonard,12,1,5.666666666666667
Wendy Williams,12,1,4.666666666666667
Mike Catherwood,12,1,4.333333333333333
Chelsea Kane,12,10,9.888866666666667
Hines Ward,12,10,9.888866666666667
Kirstie Alley,12,10,9.3333
Chris Jericho,12,10,0.0
Kendra Wilkinson,12,10,0.0
Mike Catherwood,12,10,0.0
Petra Nemcova,12,10,0.0
Ralph Macchio,12,10,0.0
Romeo,12,10,0.0
Sugar Ray Leonard,12,10,0.0
Wendy Williams,12,10,0.0
Chris Jericho,12,2,7.666666666666667
Hines Ward,12,2,7.666666666666667
Romeo,12,2,7.666666666666667
Ralph Macchio,12,2,7.0
Kirstie Alley,12,2,6.666666666666667
Kendra Wilkinson,12,2,6.333333333333333
Chelsea Kane,12,2,6.0
Petra Nemcova,12,2,6.0
Mike Catherwood,12,2,5.666666666666667
Sugar Ray Leonard,12,2,5.666666666666667
Wendy Williams,12,2,5.666666666666667
Hines Ward,12,3,8.333333333333334
Petra Nemcova,12,3,8.333333333333334
Chelsea Kane,12,3,7.666666666666667
Kendra Wilkinson,12,3,7.666666666666667
Chris Jericho,12,3,7.0
Kirstie Alley,12,3,7.0
Ralph Macchio,12,3,7.0
Romeo,12,3,6.666666666666667
Sugar Ray Leonard,12,3,6.666666666666667
Wendy Williams,12,3,5.0
Mike Catherwood,12,3,0.0
Chelsea Kane,12,4,8.666666666666666
Hines Ward,12,4,8.333333333333334
Ralph Macchio,12,4,8.333333333333334
Chris Jericho,12,4,7.666666666666667
Petra Nemcova,12,4,7.666666666666667
Romeo,12,4,7.666666666666667
Kirstie Alley,12,4,7.333333333333333
Sugar Ray Leonard,12,4,7.0
Kendra Wilkinson,12,4,6.0
Mike Catherwood,12,4,0.0
Wendy Williams,12,4,0.0
Hines Ward,12,5,9.0
Chelsea Kane,12,5,8.666666666666666
Chris Jericho,12,5,8.666666666666666
Romeo,12,5,8.666666666666666
Kirstie Alley,12,5,7.666666666666667
Kendra Wilkinson,12,5,7.333333333333333
Petra Nemcova,12,5,7.333333333333333
Ralph Macchio,12,5,7.333333333333333
Mike Catherwood,12,5,0.0
Sugar Ray Leonard,12,5,0.0
Wendy Williams,12,5,0.0
Chelsea Kane,12,6,9.333333333333334
Romeo,12,6,9.333333333333334
Hines Ward,12,6,9.0
Kirstie Alley,12,6,8.666666666666666
Kendra Wilkinson,12,6,8.333333333333334
Ralph Macchio,12,6,8.0
Chris Jericho,12,6,7.333333333333333
Mike Catherwood,12,6,0.0
Petra Nemcova,12,6,0.0
Sugar Ray Leonard,12,6,0.0
Wendy Williams,12,6,0.0
Hines Ward,12,7,8.25
Ralph Macchio,12,7,8.25
Chelsea Kane,12,7,8.0
Kendra Wilkinson,12,7,7.625
Kirstie Alley,12,7,7.5
Romeo,12,7,7.5
Chris Jericho,12,7,0.0
Mike Catherwood,12,7,0.0
Petra Nemcova,12,7,0.0
Sugar Ray Leonard,12,7,0.0
Wendy Williams,12,7,0.0
Chelsea Kane,12,8,9.166666666666666
Hines Ward,12,8,9.0
Kirstie Alley,12,8,8.833333333333334
Romeo,12,8,8.666666666666666
Ralph Macchio,12,8,7.666666666666667
Chris Jericho,12,8,0.0
Kendra Wilkinson,12,8,0.0
Mike Catherwood,12,8,0.0
Petra Nemcova,12,8,0.0
Sugar Ray Leonard,12,8,0.0
Wendy Williams,12,8,0.0
Chelsea Kane,12,9,12.166666666666666
Hines Ward,12,9,10.0
Kirstie Alley,12,9,9.0
Ralph Macchio,12,9,8.0
Chris Jericho,12,9,0.0
Kendra Wilkinson,12,9,0.0
Mike Catherwood,12,9,0.0
Petra Nemcova,12,9,0.0
Romeo,12,9,0.0
Sugar Ray Leonard,12,9,0.0
Wendy Williams,12,9,0.0
Chynna Phillips,13,1,7.333333333333333
J.R. Martinez,13,1,7.333333333333333
Hope Solo,13,1,7.0
Ricki Lake,13,1,6.666666666666667
Kristin Cavallari,13,1,6.333333333333333
David Arquette,13,1,6.0
Carson Kressley,13,1,5.666666666666667
Chaz Bono,13,1,5.666666666666667
Nancy Grace,13,1,5.333333333333333
Rob Kardashian,13,1,5.333333333333333
Elisabetta Canalis,13,1,5.0
Metta World Peace (Ron),13,1,4.666666666666667
Rob Kardashian,13,10,9.4444
J.R. Martinez,13,10,9.388833333333332
Ricki Lake,13,10,9.3333
Carson Kressley,13,10,0.0
Chaz Bono,13,10,0.0
Chynna Phillips,13,10,0.0
David Arquette,13,10,0.0
Elisabetta Canalis,13,10,0.0
Hope Solo,13,10,0.0
Kristin Cavallari,13,10,0.0
Metta World Peace (Ron),13,10,0.0
Nancy Grace,13,10,0.0
Ricki Lake,13,2,7.666666666666667
J.R. Martinez,13,2,7.333333333333333
Kristin Cavallari,13,2,7.333333333333333
Chynna Phillips,13,2,7.0
Elisabetta Canalis,13,2,7.0
Nancy Grace,13,2,7.0
Rob Kardashian,13,2,7.0
Hope Solo,13,2,6.333333333333333
Carson Kressley,13,2,6.0
David Arquette,13,2,6.0
Chaz Bono,13,2,5.666666666666667
Metta World Peace (Ron),13,2,0.0
Ricki Lake,13,3,9.0
Chynna Phillips,13,3,8.666666666666666
J.R. Martinez,13,3,8.666666666666666
David Arquette,13,3,8.0
Hope Solo,13,3,8.0
Kristin Cavallari,13,3,8.0
Rob Kardashian,13,3,8.0
Carson Kressley,13,3,7.666666666666667
Nancy Grace,13,3,7.0
Chaz Bono,13,3,6.0
Elisabetta Canalis,13,3,0.0
Metta World Peace (Ron),13,3,0.0
Ricki Lake,13,4,9.666666666666666
J.R. Martinez,13,4,8.666666666666666
Hope Solo,13,4,8.0
Rob Kardashian,13,4,8.0
David Arquette,13,4,7.666666666666667
Chaz Bono,13,4,7.0
Chynna Phillips,13,4,7.0
Nancy Grace,13,4,7.0
Carson Kressley,13,4,6.666666666666667
Elisabetta Canalis,13,4,0.0
Kristin Cavallari,13,4,0.0
Metta World Peace (Ron),13,4,0.0
J.R. Martinez,13,5,9.333333333333334
David Arquette,13,5,8.333333333333334
Rob Kardashian,13,5,8.333333333333334
Hope Solo,13,5,8.0
Ricki Lake,13,5,8.0
Nancy Grace,13,5,7.333333333333333
Chaz Bono,13,5,7.0
Carson Kressley,13,5,6.333333333333333
Chynna Phillips,13,5,0.0
Elisabetta Canalis,13,5,0.0
Kristin Cavallari,13,5,0.0
Metta World Peace (Ron),13,5,0.0
J.R. Martinez,13,6,9.666666666666666
Ricki Lake,13,6,9.666666666666666
Nancy Grace,13,6,8.0
David Arquette,13,6,7.666666666666667
Rob Kardashian,13,6,7.333333333333333
Hope Solo,13,6,6.666666666666667
Chaz Bono,13,6,6.333333333333333
Carson Kressley,13,6,0.0
Chynna Phillips,13,6,0.0
Elisabetta Canalis,13,6,0.0
Kristin Cavallari,13,6,0.0
Metta World Peace (Ron),13,6,0.0
Ricki Lake,13,7,8.833333333333334
Rob Kardashian,13,7,8.5
Hope Solo,13,7,8.333333333333334
J.R. Martinez,13,7,8.0
David Arquette,13,7,7.833333333333333
Nancy Grace,13,7,7.333333333333333
Carson Kressley,13,7,0.0
Chaz Bono,13,7,0.0
Chynna Phillips,13,7,0.0
Elisabetta Canalis,13,7,0.0
Kristin Cavallari,13,7,0.0
Metta World Peace (Ron),13,7,0.0
J.R. Martinez,13,8,10.0
Hope Solo,13,8,8.666666666666666
Ricki Lake,13,8,8.666666666666666
Rob Kardashian,13,8,8.5
Nancy Grace,13,8,7.333333333333333
Carson Kressley,13,8,0.0
Chaz Bono,13,8,0.0
Chynna Phillips,13,8,0.0
David Arquette,13,8,0.0
Elisabetta Canalis,13,8,0.0
Kristin Cavallari,13,8,0.0
Metta World Peace (Ron),13,8,0.0
Ricki Lake,13,9,11.166633333333332
Rob Kardashian,13,9,10.833266666666667
J.R. Martinez,13,9,9.333333333333334
Hope Solo,13,9,8.1666
Carson Kressley,13,9,0.0
Chaz Bono,13,9,0.0
Chynna Phillips,13,9,0.0
David Arquette,13,9,0.0
Elisabetta Canalis,13,9,0.0
Kristin Cavallari,13,9,0.0
Metta World Peace (Ron),13,9,0.0
Nancy Grace,13,9,0.0
Jaleel White,14,1,8.666666666666666
Katherine Jenkins,14,1,8.666666666666666
William Levy,14,1,8.0
Gladys Knight,14,1,7.666666666666667
Jack Wagner,14,1,7.666666666666667
Roshon Fegan,14,1,7.666666666666667
Sherri Sheperd,14,1,7.666666666666667
Donald Driver,14,1,7.0
Maria Menounos,14,1,7.0
Gavin DeGraw,14,1,6.666666666666667
Martina Navratilova,14,1,6.666666666666667
Melissa Gilbert,14,1,6.666666666666667
Katherine Jenkins,14,10,10.0
Donald Driver,14,10,9.888866666666667
William Levy,14,10,9.888866666666667
Gavin DeGraw,14,10,0.0
Gladys Knight,14,10,0.0
Jack Wagner,14,10,0.0
Jaleel White,14,10,0.0
Maria Menounos,14,10,0.0
Martina Navratilova,14,10,0.0
Melissa Gilbert,14,10,0.0
Roshon Fegan,14,10,0.0
Sherri Sheperd,14,10,0.0
Katherine Jenkins,14,2,8.666666666666666
Roshon Fegan,14,2,8.666666666666666
Maria Menounos,14,2,8.333333333333334
William Levy,14,2,8.333333333333334
Donald Driver,14,2,8.0
Sherri Sheperd,14,2,7.666666666666667
Jaleel White,14,2,7.333333333333333
Gavin DeGraw,14,2,7.0
Jack Wagner,14,2,7.0
Melissa Gilbert,14,2,6.666666666666667
Gladys Knight,14,2,6.333333333333333
Martina Navratilova,14,2,5.666666666666667
Katherine Jenkins,14,3,9.666666666666666
William Levy,14,3,9.333333333333334
Maria Menounos,14,3,9.0
Donald Driver,14,3,8.666666666666666
Jaleel White,14,3,8.333333333333334
Roshon Fegan,14,3,8.333333333333334
Gavin DeGraw,14,3,8.0
Gladys Knight,14,3,8.0
Jack Wagner,14,3,8.0
Melissa Gilbert,14,3,8.0
Sherri Sheperd,14,3,8.0
Martina Navratilova,14,3,0.0
Donald Driver,14,4,9.0
Maria Menounos,14,4,8.666666666666666
Roshon Fegan,14,4,8.666666666666666
Katherine Jenkins,14,4,8.0
Gavin DeGraw,14,4,7.666666666666667
Jaleel White,14,4,7.333333333333333
Melissa Gilbert,14,4,7.333333333333333
William Levy,14,4,7.333333333333333
Sherri Sheperd,14,4,7.0
Gladys Knight,14,4,6.666666666666667
Jack Wagner,14,4,0.0
Martina Navratilova,14,4,0.0
Katherine Jenkins,14,5,9.666666666666666
William Levy,14,5,9.666666666666666
Donald Driver,14,5,9.0
Maria Menounos,14,5,9.0
Roshon Fegan,14,5,8.666666666666666
Jaleel White,14,5,8.0
Gladys Knight,14,5,7.333333333333333
Melissa Gilbert,14,5,7.0
Gavin DeGraw,14,5,6.333333333333333
Jack Wagner,14,5,0.0
Martina Navratilova,14,5,0.0
Sherri Sheperd,14,5,0.0
Katherine Jenkins,14,6,12.999966666666666
Jaleel White,14,6,12.333266666666667
William Levy,14,6,12.0
Donald Driver,14,6,11.3333
Melissa Gilbert,14,6,10.0
Maria Menounos,14,6,9.999966666666666
Roshon Fegan,14,6,9.333266666666667
